SHOW,STAR,,,,,,,,
CLOAK AND DAGGER,Raymond Edward Johnson,,,,,,,,
CRIME DOES NOT PAY,Donald Buka,,,,,,,,
CAPTAIN MIDNIGHT,Ed Prentiss,Boris Aplon,,,,,,,
CRIME AND PETER CHAMBERS,Dane Clark,,,,,,,,
A CANTICLE FOR LIEBOWITZ,Fred Coffin,Russell Horton,Bart Hayman,Herb Hartig,,,,,
THE CHARLIE MCCARTHY SHOW,Charlie McCarthy,Edgar Bergen,Anita Gordon,Pat Patrick,,,,,
CAN YOU IMAGINE THAT,Lindsey McCary,,,,,,,,
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Henry Levine,Paul LaValle,,,,,,,
THE CHESTERFIELD MUSIC SHOP,Johnny Mercer,Jo Stafford,Paul Weston Orchestra, The Pied Pipers,June Hutton,,,,
THE CHESTERFIELD SUPPER CLUB,Perry Como,Jo Stafford,,,,,,,
THE ADVENTURES OF CHRISTOPHER LONDON,Glenn Ford,,,,,,,,
CRUSADER CHRONICLES,Hugh Grant,Chris Lang,Andy Taylor,Simon Greenall,Chris Langham,Rebecca Front,,,
THE COLGATE HOUSE PARTY,Frances Langford,Donald Novis,,,,,,,
THE COUNT OF MONTE CRISTO,Carlton Young,Betty Lou Gerson,,,,,,,
THE CURTAIN OF TIME,Jeff Corey,,,,,,,,
THE CASEBOOK OF GREGORY HOOD,Elliott Lewis,Howard McNear,,,,,,,
THE CONNEE BOSWELL SHOW,Connee Boswell,Ted Husing,Bobby Doyle,,,,,,
CALL THE POLICE,George Petrie,Amzie Strickland,Robert Dryden,,,,,,
CAMPANA SERENADE,Dick Powell,Martha Tilton,,,,,,,
CASES OF MISTER ACE,George Raft,Jeanette Nolan,Cathy Lewis,,,,,,
CHAPLAIN JIM,Don MacLaughlin,,,,,,,,
CRIME ON THE WATERFRONT,Myron Wallace,,,,,,,,
CRIME CORRESPONDENT,Paul Frees,,,,,,,,
THE COBBS,William Demarest,Hope Emerson,,,,,,,
CLUB FIFTEEN,Andrews Sisters,,,,,,,,
COMEDY STARS OF HOLLYWOOD,Franklin Brown,Kay LaValle,The King's Men,,,,,,
CONTEMPORARY COMPOSERS CONCERT,Paul Whiteman,Kay Armen,,,,,,,
CAPTAIN STUBBY AND HIS BUCCANEERS,Tony Walberg,,,,,,,,
CREEPS BY NIGHT,Boris Karloff,,,,,,,,
THE CIRCLE ARROW SHOW,Jimmy Leonard,,,,,,,,
CLUB HOLLYWOOD,Rose Marie,,,,,,,,
COTY SALUTE TO YOUTH,Ray Noble,,,,,,,,
CHUCK-WAGON JAMBOREE,Art West,Suzie West,Emmylou Harris,,,,,,
THE COUNTRY EDITOR,Bob Burns,,,,,,,,
THE CIRCLE,Cary Grant,Carole Lombard,Groucho Marx,Chico Marx,,,,,
THE MODERN ADVENTURES OF CASANOVA,Errol Flynn,,,,,,,,
CAROLINA COTTON CALLS,Carolina Cotton,The Rhythm Riders,,,,,,,
COMMUNITY SING,Milton Berle,Wendell Hall,,,,,,,
CHEVROLET PROGRAM,David Rubinoff,Virginia Raye,Jan Peerce,,,,,,
CHRISTMAS SING WITH BING,Bing Crosby,,,,,,,,
CLUB OASIS,Spike Jones,Helen Grayco,,,,,,,
CONFLICT,Edna Best,,,,,,,,
CIMARRON TAVERN,Paul Conrad,,,,,,,,
CHANDU THE MAGICIAN,Gayne Whiteman,Margaret MacDonald,Bob Bixby,Betty Webb,,,,,
CAPTAIN FLAGG AND SERGEANT QUIRT,Edmund Lowe,William Gargan,,,,,,,
DANGEROUSLY YOURS,Victor Jory,,,,,,,,
DANGER DOCTOR DANFIELD,Michael Dunn,,,,,,,,
THE DAY OF THE TRIFFIDS,Patrick Barr,Monica Gray,Gabriel Blunt,,,,,,
DOC SAVAGE,Bernard Lenrow,Earl George,,,,,,,
THE STORY OF DR KILDARE,Lew Ayres,Lionel Barrymore,,,,,,,
DR. SIXGUN,Carl Weber,William Griffis,,,,,,,
DUFFY’S TAVERN,Ed Gardner,,,,,,,,
THE DANNY KAYE SHOW,Danny Kaye,Eve Arden,Lional Stander,Harry James and His Music Makers,,,,,
DANGEROUS ASSIGNMENT,Lloyd Bruuell,,,,,,,,
A DATE WITH JUDY,Louise Erickson,Dix Davis,Ken Christy,Myra Marsh,Ann Gillis,Paul McGrath,Margaret Braeton,,
COUNTERSPY,Don MacLaughlin,Mandel Kramer,,,,,,,
DINAH SHORE SHOW,Dinah Shore,,,,,,,,
THE DEFENSE RESTS,Mercedes MacCambridge,,,,,,,,
DAISY DISCOVERS AMERICA,Ella Logan,Sheldon Leonard,,,,,,,
THE DON AMECHE SHOW,Pinky Lee,Truman Bradley,Swing Choir,,,,,,
THE PRIVATE PRACTICE OF DR DANA,Jeff Chandler,,,,,,,,
THE DRENE SHOW,Don Ameche,Pinky Lee,Jonell Jones,,,,,,
DARK VENTURE,Betty Moran,Dwight Hauser,,,,,,,
DARLING AND DEARIE,Alonzio Dean Cole,Mary Flynn,,,,,,,
DEFENSE ATTORNEY,Mercedes MacCambridge,,,,,,,,
DOCTOR STANDISH MEDICAL EXAMINER,Gary Merrill,Audrey Christie,Eric Dressler,,,,,,
DATE IN HOLLYWOOD,Eddie Fisher,Gloria De Haven,,,,,,,
DOCTOR’S WIFE,Patricia Weil,Donald Curtis,,,,,,,
DEAR JOHN,Irene Rich,,,,,,,,
DYKE EASTER DETECTIVE,Albert Hecht,,,,,,,,
DESIGN FOR LISTENING,Jack Haskell,,,,,,,,
DUDE MARTIN’S SUNRISE ROUNDUP,Dude Martin,,,,,,,,
DR PEPPER PARADE,Pick Malone,Pat Padgett,Jack Arthur,Margaret McCrea,,,,,
DUDE MARTIN'S RADIO RANCHO,Dude Martin,,,,,,,,
THE EASY ACES,Goodman Ace,Jane Ace,,,,,,,
THE EDDIE BRACKEN SHOW,Eddie Bracken,Ann Ruthford,Janet Waldo,William Demarest,,,,,
THE EMPIRE BUILDERS,Harvey Hayes,,,,,,,,
THE ADVENTURES OF ELLERY QUEEN,Sydney Smith,Santos Ortega,Ted de Corsia,Barbara Terrell,,,,,
EASY MONEY,Larry Haines,,,,,,,,
AN EVENING WITH ROMBERG,Robert Merrill,Thomas Hayward,,,,,,,
THE EDDIE AND RALPH SHOW,Ed East,Ralph Dumke,,,,,,,
ELMER’S JUKE BOX,Elmer Swenson,,,,,,,,
THE ENCHANTED HOUR,Nancy Carr,Henry Weber Orchestra,,,,,,,
EL LOBO RIDES AGAIN,Charlie Lung,,,,,,,,
ED WYNN SHOW,Ed Wynn,Minerva Pios,,,,,,,
EDITH ADAMS’  FUTURE,Della Louise Orton,,,,,,,,
EYES WRIGHT,Martha Wright,The Page Cavanaugh Trio,,,,,,,
FRONTIER GENTLEMAN,John Dehner,,,,,,,,
