Joseph Lilley
Art Baker\n Music
Eddie Pola
Grace Gibson
Ella Logan
Lou Bring
Pinky Lee
Alonzio Dean Cole
CLIFF ARQUETTE
Schenley Laboratories
Dee Englebach
Gary Merrill
Doctor Standish
Audrey Christie
Charles S. Monroe
Eddie Fisher
Gloria De
John Mason
Patricia Weil
Bernard Birquist
Emil Soderstrom
Irene Rich\n
Stephen Vincent
Tom Bennett
Lester O'Keefe
William Sweets\n
Alan M.
Joseph Gallichio
John Holtman\n
Pick Malone
Pat Padgett
Jack Arthur
Peter Van Steeden
John W. Gregory
Kenneth Delamr
Kenny Delmar
Frederic March
Monarch Program
Norman Mac Donnell
Les Crutchfield
John Dunkel\n Music
Ivan Ditmars
Cy Feuer
Del Castillo
Wilber Hatch
Stevens Sound
Bill Gould
Cliff Thorsness
East Coast Versions
Ronald Colman Tuesdays
Arch Oboler
Ronald Colman
Dave Rubinoff
Harry Einstein
Jimmy Wallington
Louis Glass Orchestra
Deanna Durbin
Bobby Breen
Pinkey Tomlin
Eddie Stanley
Elle Logan
Egor Gorin
Pinky Tomlin
Walter Wolf
Cookie Fairchild
Bert Gordon
Bobby Sherwood
Bert Gordon\n Hattie McDaniel
Shirley Dinsdale
Nora Martin
Leonard Sues
Emily Kipp
Billy Gray
Fred Martel
Thelma Carpenter
Patsy Bolton\n
Shirley Mitchell
Billie Burke
Bert Gordon\n
Network Anacin
Jane Ace
Eddie Bracken
Shirley Booth
Ann\n Rutherford
Janet Waldo
Ann Ruthford
Lincoln Mercury Encore
Jean Holloway\n
Harvey Hayes
George Zachary
Frederic Dannay
Manfred B.
Bernard Hermann
Howard Smith
Marian Shockley
Santos Ortega
East Coast
Charles Paul
Sydney Smith
Anthony Boucher
Lawrence Dobkin
Bill Smith
Ed Latimer
Chet Kingsbury
Dick Woolen
Rex Koury
Larry Haines
Detective Mike
Charlie Brown\n
Kenneth Banghart
John Campbell
Sigmund Romberg
Robert Merrill
Ed East
Ralph Dumke
John Gart
Elza Schalert
Nancy Carr
Henry Weber
Jack Robinson
Ralph Langly
Happy Island
Network Borden Mondays
Ed Wynn
Jerry Wayne
Crazy Legs
Features Fred Hartley
Della Louise
Celeste Rush\n
Coast Guard
Martha Wright
Maxwell House Coffee
Maxwell House
Cass Dailey
Eric Blore
Carlos Ramirez
Albert Sack
John Dehner
Jonathan D. Kendall
Raymond Burr
Kathleen Hite
John Meston
John\n\n Dunkel
Gil Doud
Jack Newman
William Robson
Father Patrick
William F. Holland Productions
Lyle Sudrow
True Boardman
Claude Sweeten
Toby Reed
Jean Holloway\n\n
Carmon Dragon
Dick Davis Chorus
Sam Edwards
Paul Dubov
Joel Murcott
Edwin C.
Maurice Franklin
Bruno Wick
Charlie Cantor
Himan Brown\n Series
Fred Allen
Kennneth Roberts
Ken Roberts
Lou Katzman
Ann Leaf
Paramount Theater
Mary McCoy
Scrappy Lambert
Songsmith Quartet
Ray Heatherton
Lennie Hayton
Marshall Bartholomew Singers
Walter Tetley
John Brown
Minerva Pious
Kenny Baker
Wynn Murray
Arthur Godfrey
Parker Fennelly
Betty Lou Gerson
Barbara Luddy
Les Tremayne
Don Ameche\n
Olan Soule\n
Robert Young
Jean Vander Pyl
Rhoda Williams
Ted Donaldson
Helen Strong
Eleanor Audley
Herb Vigran
Ed James
Paul West
Helen Strohm
Donald Briggs
Burt L. Standish
Lawson Zerby
Hal Studer
Army Recruitment
Henry Russell Orchestra
Hal Gibney
Jeff Chandler
Chad Remington
Reed Hadley
Ken Nordine\n
Andy Williams
Ed Stevens\n
Cass Daley Show
Fitch Shampoo Sundays
Cass Daley
Henry Russell
Elsie Hicks
Music Friendly Five
Friendly Fred
Request Plays
David Brinkley\n
Hayes Gordon\n
Peggy Brooks
Bob Gibson
George Riley
Vern Smith\n
Phil Brito
Phil Davis
Simone Simon
Jay Jostyn
Whitey Henry
Jimmy Skrogie
Vickie Barrie\n
Jerry Haendiges
Bruce Eells Syndicated
Johnny Murray\n
Ken Brown
Karl Swenson
Father Brown\n
Arnold Johnson
Robert Cummings
Rosalind Russell
Kay Lorraine
Paul Burrows
Stars Fred Waring
John P. Medbury
Rosemary Lane
Priscilla Lane
Tom Waring
Features Kay Thompson
Stuart Churchill
Gordon Goodman
Donna Dae
Glee Club
Cherterfield Time
Fred G. Clark
Flit Bug
Hal Kanner
Warren Lewis\n
Tom Howard
Donald Novis
Gloria Grafton
Charles Henderson
Eddie Duchin Orchestra
Adolph Deutsch
Peter Hand Brewing
William Everett
Frank Fontaine
Lud Gluskin
Harry Cogan
William Players
Atlas Radio
William Farnum
Junior Chamber
Network Sustianed
Larry Finley
Harold Peary
Willard Waterman
Richard LeGrand
Georgia Ellis
Parley Baer
Norman Macdonnell Music
Rex Koury\n
Roy Royan
George Walsh
Tom Hanley
Ray Kemper
Bill James\n
George W. Trendle
Brett Reid
Dan Reid
John Reid
George W.
Al Hodge
Fran Striker
Donovan Faust
Robert Hall
Jack\n McCarthy
Virginia Stafford
Nelson Case
Jethro Dumont
Richard Aurandt
William Frug
Fulton Oursler
Warren Parker
Mark Loeb
Leonard Blair
Henry Denker\n
William Stoess
Fanny Brice
Connie Boswe\n
Edward Arnold
Bea Benadaret
Bob LeMond
Show GREEN\n
Grantland Rice\n
Philip Morris
David Rose
Guy Lombardo
Roy Shields
Milton J.
Dave Bale
Joseph M. White
Electric Sundays
George Byron
Jeff Alexander
Guthrie Guy
Harold Andrews Productions
Carleton Young
George E.
Beth Wilson
Mary Wilford
Mary Elizabeth
Wesson Oil
Irene Beasley
Happy Felton\n
Peg La
Bruce Eells
James Hilton\n
Phil Harper
Virginia Gregg
Herb Meadow
Sam Rolfe
Norman Macdonnell
Frank Paris
William Boyd
Peter Jones
Richard Thorne
Harold Turner\n
Michael Redgrave
Captain Horatio Hornblower
Tom McAvity
Alfred Newman
Johnny Green
Raymond Massey\n
Howard Barlowe\n
Frank Black
Victor Young
Bill Hampton
Jerry Cooper
Ken Murray
William Powell
Herbert Marshall
George MacGarrett
Bob Backer
Fred Ibbet
Brewster Morgan
Benita Hume
Williard Waterman
Herbert Butterfield
Gloria Gordon\n
Joseph Kearns
Gene Stone
Bill Danch\n
Jack Meakin
Bob Lamond
Henry Morgan
Florence Halop
Charles Powers
Bernie Green
Joe Stein
Aaron Ruben
Carroll Moore
John Griggs
Roger Elliott
Ray Bloch Orchestra
Enric Madriguera
Micky Rooney
Lewis\n Stone
Walter Selinsky
Jim Bacus
Stan Lomax
JOHN BOLES
John Boles\n
Harry Jackson\n
Louella Parsons\n
Hank Weaver
Phil Harris
Larry Burke
Taystee Bread\n Stars
Billy Jones
Ben Selvin
Sam Ross
Alice Lowe Miles
Sedley Brown\n
Radio Listners
Texanne Nation
Merle Travis
Andy Holcomb
Jack Rogers
Joseph Callico Orchestra
Elaine Rogers
Barton Yarborough
Larry Page
Don Lange
Harold Keene
Dave Ellman
Charlie Butterworth
Ruby Mercer
Raymond Paige
Gordon T.
Chris Kenyon
John Heston
Frank Watanabe
Reginald Sharland
Sylvia Jones
Frederick Shield
Gertrude Berg
Joseph Buloff
Royal Crown Cola
George Sherton
Marian Morgan
William J.
Johnson Wax
Billy Mills
Uncle Jerry Show
Radio Features
Brunswick General Broadcasting Company
Art Linkletter\n
Robert Gardner\n
Charles Irving\n Announcer
Douglas Herald
Anne Bullen
Leonard Teale
Marshall Crosby
Margaret Christensen
Muriel Steinbeck
Barbara Lee
Pete Moss
Handy Hints
Marine Corps
Dana Andrews
Ken Nordine\n\n
Himan Brown\n
Johnson Till
Allen C.
Michael Raffetto
CARLTON E.
Walter Paterson
Russell Thorson
Jim Boles
Tony Randall
Charles Vanda\n
Franklin P. Adams
John Kieran
Oscar Levant
Franklin P.
Summer Replacement Series
Harry McNaughton
Vinton Hayworth
Peggy Allenby
Charles Nevil
Pat Hosley
Paul Harrison
William Gargan
Winston Spencer
Douglas Kelly
John Stevenson
Coleen Collins
Martin Welden
Jerry Marshall Radio
Jay Stewart\n
John Conte
Walter B.
Michael O'Shea
Stuart Jerome\n
Hal Kemp
Mark Harris
Zelda Rihards
Dorothy Francis
Armen Harmen\n Announcer
Howard Ryder
Carl Jacobs\n
Franklin Bresee
Jerry Walter
Clare Boreum
Norman Gottschalk
Jonathan Hale
Ken Nordine
Hugh Rowlands
Jack Webb
Wilms Herbert
Tracy MUSIC
Frank Graham
William Froug
Jimmy Durante
Xavier Cugat
Roy Bargy
Suzanne Ellers
Candy Candido
Ruth Etting
Tom Harman
Arthur Treacher
Peggy Lee
Howard Petrie
Ray Bargy
Vern Smith
George Hicks
Bob Gregor\n
Ethel Shutta
Paul Small
Fran Fray
Dick Gardner
Dave Marshall
Grace Herbert
Mary Livingstone
Bob Gregor
Dick Canliffe
Andrea March
Don Bester
Jimmie Greer
Johnny Green\n
Michael Bartlett
Phil Harris\n
Larry Stevens
Don Wilson
Santa Claus
Matt Crowley
Franc Hale
Juano Hernandez
Irene Winston
Arthur Hughes
Jack Lloyd
Charles Flynn
Dragon Eye
Zambo Anga Adventure
Sheldon Leonard
Judy Canova
Johnny Desmond
Paul Nero
Jimmy Dorsey
Perry Botkin
Charles Dant
Fred Fox
Joe Penner\n
Joe Penner
Joy Hodges
Gene Austin\n
Jimmy Grier
Biltmore Bowl
Jacques Reynard
Ken Stevens
Jerry Fielding
Trudy Erwin
Carol Richards
Dave Willock
Norma Jean
Freddie Martin
Jack Haley
Wendy Barrie
Lucille Ball
Virginia Verrill
Sharlie Cliff Hall
Tommy Dorsey
Eythe Wright
Fred Allen Show
James Melton
Pat Butrum Marian
Jack Halloran Quartet
Frank Worth
Buddy Clark
Jack Barry\n Announcer
John Charles
Victor Young Orchestra
Ruth Perrott
Lillian Lee
Mel Blanc.\n
Paul Franklin
Jay Summers
Harry S. Goodman
Mary McConnell
Harry Hickox
Bob Mitchell
Music Society
JOHN STEELE
Stars Don
Eddie Dunn
Jackie Hill
Jack Connor
Jimmie Walker
Starlet Home
Hollywood Gossip
Joan Davis
Hans Conried
Cigars Fridays
Joan Davis\n
JOHN CAMERON
JOHN J.
JOHN W.
John Nesbit
Tony Leonard
Bill Jacoby\n
Henry Garson\n
George O'Hanlon
Marcie McGuire
Jimmy Doolittle
Jack Smith\n
Camel Cigarettes
Cartoon Time
San Francisco
Bill Steinke
Radio Station
John Brown\n Announcer
Lenny Conn
Martha Stewart\n
Leonard L. Levinson
Jimmy Blade
Billy Reed
Jack Barry
Network Ward Banking
Ruth Yorke
Jane Arden
Henry Wadsworth
Bill Baar
Frank Provo
Lee Coast Federal Savings
Jimmy Carroll
Ted Dale Orchestra
Lucky Strike
Jane Froman Show
Chesterfield Music Shop
Ann Seymore
Elliott Lewis\n\n
Paul Whiteman Show
Mary Martin
Victor Borge
Edward Everett
Kay Kysar
Harry Babbitt
Bruce Kamman
Johnny Wolf
Marian Jordon
Jim Jordan
Merrill Fugit
Sidney Ellstrom
Billy White
Kate Smith\n Announcer
Ribbon Beer
Buddy Cole
Salt Lake City AC
Jonathan James
John M Kennedy
Milton Berle\n
Harry Salter
Lux Radio
Sol Stein
Larry Goldwyn
Standard Radio Advertising Company
Kay Kyser Orchestra
Sully Mason
Wildroot Saturdays
Artie Smith\n
Joe Twarpt
Martin Gabel
Estelle Levy
Burtrand Russell
African Series\n
Charles Fredrick
Bob Bailey
Eddie Firestone
Francis Robinson
Owen Vinson
Virginia Gregg\n
Harry S. Goodman Radio
Earle Graser
William Bendix
Paula Winslow
Scotty Beckett
Sharon Douglas
Conrad Binyon\n
William Bendix\n
Carrol Naish
Jody Gilbert
Gil Stratton
Joe Forte
James Harvey\n
Robert Warren
Grace Keddy
Barry Thomson
Marilyn Erskine
Alexander Scourby
Martha Roundtree Sort
Arthur Conan
Kevin McHugh
Gerald Harper
Peggy Wells
Betty Davies\n
John Hodiak\n
Louella Parsons\n Announcer
Maxie Rosenbloom
John Marshall
John Moore\n
Bill Johnstone
Wally Maher
Elliott Lewis\n
Jack Moyles
Done Cope
Theodora Yates
Jack Hasty
Brian Byrne
Ed Sherry
David Victor
Les Paul Trio
Mary Ford
Carleton Kadell
Earl Stanly
Hewson CHILDREN
Stan Laurel
Oliver Hardy\n
Art Lewis\n
Norm Keil
Mary Ann
