SHOW,SHOW ANNOUNCER
THE HOLLYWOOD PLAYERS,Frank Bingham
HOLLYWOOD STAR PLAYHOUSE,Norman Brokenshire
HELEN HAYES THEATER,Frank Gallup
HIT THAT BALL,Carlton Warren
JOHN BOLES HOLLYWOOD EXTRA,Ken Carpenter
HILDEGARDE,Dan Seymour
HELLO SUCKER,John Conrad
THE HARRY REVEL SHOW,Charlie Mountain
THE HARRY VON ZELL SHOW,Marvin Miller
HOLLYWOOD MARDI GRAS,Don Wilson
HOLLYWOOD STORY,Richard Stark
THE HONORABLE ARCHIE,Frederick Shield
HONEYMOON IN NEW YORK,Wayne Howell
HOLLYWOOD STAR PREVIEW,Ken Peters
HAP HAZARD,Harlow Wilcox
HERITAGE,Ed Michaels
HOW DO YOU DO IT,John Grover
I WAS A COMMUNIST FOR THE FBI,Truman Bradley
INNER SANCTUM MYSTERIES,Ed Herlihy
INFORMATION PLEASEX,Ben Grauer
INHERITANCE,John Wald
I DEAL IN CRIME,Dresser Dahlstead
I COVER THE WATERFRONT,Dan Cubberly
IREENE WICKER,Milton Cross
IT‰Û_ÌãÌ«S ALWAYS SUNDAY,Roy Rowan
IF I COULD LIVE IT OVER,Andre Baruch
I COVER HOLLYWOOD,Hugh Douglas
IT‰Û_ÌãÌ«S US AGAIN,Don Hurst
THE JIMMY DURANTE AND GARRY MOORE SHOW,Howard Petrie
THE JIMMY DURANTE SHOW,Howard Petrie
BILLY ROSE‰Û_ÌãÌ«S JUMBO,Louis A. Witten
THE JACK BENNY SHOW,Howard Claney
JUNGLE JIM,Glenn Riggs
THE JOE PENNER SHOW,Bill Goodwin
THE JACK PAAR SHOW,Hy Averback
THE JACK CARSON SHOW,Del Sharbut
THE JACK HALEY SHOW,Warren Hull
JUVENILE JURY,John Scott
THE JACK KIRKWOOD SHOW,Jimmy Wallington
JOHN STEELE ADVENTURER,Ted Mallie
THE JACKIE HILL SHOW,Frank Doyle
JIMMY FIDLER SHOW,Harry Von Zell
THE JOAN DAVIS SHOW,Ben Gage
JOHN J ANTHONY,George Putnam
JACK FINA ORCHESTRA,Johnny Greenhouse
JUNIOR MISS,Roy Rowan
THE JOE E BROWN SHOW,Terry Deer
JUST OUTSIDE HOLLYWOOD,Ken Niles
JUNIOR CELEBRITIES,Russ Dunbar.
THE ADVENTURES OF JANE ARDEN,Alan Kent
THE JUDGE,Clarence Kasell
JIMMY CARROLL SINGS,Ernest Chappell
TEXACO STAR THEATER SUMMER SHOW,Jimmy Wallington
THE JANE PICKENS SHOW,Tex Antoine
KRAFT MUSIC HALL,Les Tremayne
KATE SMITH SPEAKS,Ted Collins
THE KENNY BAKER SHOW,Ken Niles
KEEP IT IN THE FAMILY,Rod O'Connor
KNICKERBOCKER PLAYHOUSE,Dick Wells
KYSER KOLLEGE OF FUN AND KNOWLEDGE,Bud Hiestand
THE KID ON THE CORNER,Wendell Niles
THE LIFE OF RILEY,Ken Niles
LIVING IN AN ATOMIC AGE,Robert Warren
LEAVE IT TO THE GIRLS,Andre Baruch
THE LOUELLA PARSONS SHOW,Marvin Miller
LET‰Û_ÌãÌ«S GO TO SLAPSIE‰Û_ÌãÌ«S,Howard Petrie
LINCOLN HIGHWAY,John McIntire
LAZY LISTENIN‰Û_ÌãÌ« TIME,Art Lewis
LET YOURSELF GO,Ken Roberts
LONE WOLF,Dick Winn
LADIES BE SEATED,Ed Prentiss
LIFE BEGINS AT EIGHTY,John St. Ledger
LUCKY STRIKE MUSIC HALL,Milton Cross
LET‰Û_ÌãÌ«S TALK TO LUCY,Gary Morton
LET THERE BE MUSIC,Don Forbes
LOG CABIN INN,Tiny Ruffner
LOOK YOUR BEST,Bill Shipley
THE LEE SIMMS SHOW,Don Pardo
LUCKY U RANCH,George Putnam
THE MARIO LANZA SHOW,Bill Baldwin
MELODY AND MADNESS,Del Sharbet
MR. ACE AND JANE,Ken Roberts
MAXINE GRAY ENTERTAINS,Rolley Thomas
MUSIC DEPRECIATION,Tony La Frano
THE MAN CALLED X,Wendell Niles
MR. PRESIDENT,Owen James
MEDICINE USA,Fred Collins
THE MARRIAGE,Bob Denton
THE MILTON BERLE SHOW,Frank Gallop
MAYOR OF THE TOWN,Harlow Wilcox
THE MAGNIFICENT MONTAGUE,Don Pardo
THE ADVENTURES OF MICHAEL SHAYNE,Charles Arlington
THE MUTUAL RADIO THEATER,John Harlen
MCGARRY AND HIS MOUSE,Bert Parks
MUSIC BY GERSHWIN,Don Willsin
MCALEER MELODISTS,Harry Von Zell
THE MARY SMALL SHOW,Bud Collier
MUSIC OF THE NEW WORLD,Charles F. McCarthy
MEET THE STARS,Hugh Brundage
THE ADVENTURES OF MICHAEL SHAYNE,Charles Arlington
MEET MISS SHERLOCK,Murray Wagner
THE MINDY CARSON SHOW,Don Pardo
THE MINSTREL TRAIN,Carl Warren
THE MITCH MILLER SHOW,Stuart Best
MUSIC FROM HOLLYWOOD,Don Rickles
MURDER WILL OUT,Larry Keating
THE MAGIC OF MUSIC,Dick Sinclair
MEMO FROM MOLLY,Roy Rowan
MORE ABOUT HARRIS,Don Hurst
MELODY SOUVENIRS,Norvell Slater
MID-MORNING MATINEE,Lowell Cartwright
NBC UNIVERSITY THEATER OF THE AIR,Don Stanley
THE ADVENTURES OF NERO WOLFE,Don Stanley
THE NELSON EDDY SHOW,Frank Graham
THE NATE GROSS SHOW,Everett Clarke
NEW THEATER,Fred Collins
NONA FROM NOWHERE,Ford Bond
THE NEW SWAN SHOW,Frank Graham
NAMES OF TOMORROW FINDING STARDOM TODAY,Hal Gibney.
ON STAGE,George Walsh
ONE OUT OF SEVEN,John Galbraith
OUR MISS BROOKS,Bob Lamond
THE OLD GOLD COMEDY THEATER,Bob Williams
OPIE CATES SHOW,Hy Averback
PAT NOVAK FOR HIRE,George Fenneman
PAUL WHITEMAN'S CHRISTMAS PARTY,Paul Douglas
THE PHIL HARRIS-ALICE FAYE SHOW,Bill Forman
PRESENTING CHARLES BOYER,Don Stanley
PHILO VANCE,Tom Shirley
PHILCO RADIO TIME,Ken Carpenter
THE PACKARD HOUR,Ken Carpenter
PASSPORT TO ROMANCE,Don Fredericks
PETE KELLY‰Û_ÌãÌ«S BLUES,George Fenneman
THE PAUL WHITEMAN SHOW,Paul Douglas
THE PETER DONALD SHOW,Dennis James
PITFALL,Frank Goss
PROFESSOR QUIZ,Gene Hamilton
POP GOES THE QUESTION,Jimmy Leonard
PREMIER PERFORMANCE,Ted Meyers
PRINCESS PAT PLAYS,Harlow Wilcox
PROWL CAR,Jim Doyle
THE PEGGY LEE SHOW,Ken Niles
PLANTATION JUBILEE,Charles Lyon
PLEASURE PARADE,Jimmy Wallington
QUICK AS A FLASH,Cy Harrice
QUALITY SET TO MUSIC,Bill Griskey
THE RADIO HALL OF FAME,Glen Riggs
THE ADVENTURES OF ROCKY JORDAN,Larry Thor
RECOLLECTIONS AT 30,Fred Collins
THE ROY ROGERS SHOW,Art Balinger
REQUEST PERFORMANCE,Del Sharbut
RADIO READER,Ernest Chappell
THE RADIO EDITION OF THE BIBLE,Ray Morgan
RAY HERBECK ORCHESTRA,Daryl Hutchins
THE REVUERS,Milton Cross
ROGER KILGORE,Carl Caruso
THE ROMA WINE SHOW,Frank Martin
THE RUGGLES,Roy Royan
THE RAY BOLGER SHOW,Howard Petrie
THE ADVENTURES OF ROBIN HOOD,Larry Thor
THE ROSEMARY CLOONEY SHOW,Johnny Jacobs
STARRING BORIS KARLOFF,George Gunn
THE SHADOW,Ken Roberts
THE SMITHS OF HOLLYWOOD,Tyler Mc Vey
SPACE PATROL,Dick Tufelt
NBC SHORT STORY,Don Stanley
SILVER THEATER,John Conte
THE SAD SACK,Dick Joy
SHERLOCK HOLMES,Joseph Bell
SEALTEST VARIETY THEATER,Hal Gibney
SHELL CHATEAU,Ben Grauer
THE SHOW GOES ON,Art Hannes
SING IT AGAIN,Bern Bennett
STAR-SPANGLED BANNER,Gilbert Martin
THE SHEILA GRAHAM SHOW,Don McCall
SWEENEY AND MARCH,Bob Lemond
SKIP AND SCORE,Ed Brady
THE STAN KENTON SHOW,Hy Averback
STOOPNAGLE AND BUDD,Andre Baruch
SCIENCE EDITOR,Don Rickles
STOP ME IF YOU‰Û_ÌãÌ«VE HEARD THIS ONE,Dan Seymour
SECRET AGENT K-7 RETURNS,John Holbrook
THE SILVER EAGLE,Bill O'Connor
STAND UP AND BE COUNTED,Bud Collins
SEALTEST VILLAGE STORE,Frank Barton
SINGING IN THE MORNING,John Tillman
SIGMUND SPAETH‰Û_ÌãÌ«S MUSIC QUIZ,Keith Herrin
SHAFFER PARADE,Ed Herlihy
SO YOU THINK IT‰Û_ÌãÌ«S NEW,Andre Baruch
SING ALONG,Bill Cullen
SOCONY SKETCHBOOK,Harry von Zell
SAY IT WITH WORDS,Sidney Walton
SYMPHONIES FOR YOUTH,Tony La Frano
THEATER FIVE,Fred Foy
TALES OF THE TEXAS RANGERS,Hal Gibney
TELL IT AGAIN,John Jacobs
TIME FOR LOVE,Lee Vines
THIS IS YOUR FBI,Larry Keating
THIS IS OUR AMERICA,True Bordman
THREE STRIKES AND YOU,Perry Dicky
TEN-TWO-FOUR RANCH,Art Gilmore
TEXACO STAR THEATER,Jimmy Wallington
THIS FABULOUS WORLD,John Holtman
TOO MANY COOKS,Roy Rowan
THE TOMMY DORSEY PLAYSHOP,Tony La Frano
THE THREE SUNS SHOW,Phil Malcom
TURK MURPHY AND HIS DIXIELAND BAND,Bob Cummings
TROMMER‰Û_ÌãÌ«S TROOPERS,Dan Seymour
THREE OF A KIND,John Brown
THE TIME THE PLACE AND THE TUNE,Don Stanley
TALENT THEATER,Frank Graham
UNCLE EZRA SHOW,Jack Holden
VERNON CRANE‰Û_ÌãÌ«S STORYBOOK,Dave Roberts
VICKS ROMANTIC BACHELOR,Louis Dean
VIOLENCE,Clarence Cassell
VARIATIONS BY VAN CLEAVE,Tom Reddy
VICTOR BORGE SHOW,Don Wilson
VOICES AND EVENTS,Robert Warren
WAR TOWN,Jackson Beck
WORLD‰Û_ÌãÌ«S GREATEST NOVELS,Hugh Downs
WE ARE ALWAYS YOUNG,Leonard Sterling
THE WINNER,Wendell Niles
THE WAYNE KING SHOW,Franklyn MacCormack
X MINUS ONE,Fred Collins
YOU BET YOUR LIFE,George Fenneman
YOUNG LOVE,Larry Thor
YOU CAN BE AN ACTOR,Bill Aaron
YES OR NO,Steve Stran
